,學校代碼,學校名稱,日間∕進修別,等級別,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別,學年度
678,1072,大華科技大學,N 修,C 二技,0,0,0,0,391,119,256,66,0,0,0,0,0,0,3,3,04 新竹縣,2 技職,105
679,1072,大華科技大學,N 修,2 二專,134,48,0,0,0,0,0,0,0,0,0,0,0,0,5,0,04 新竹縣,2 技職,105
680,1073,醒吾科技大學,D 日,M 碩士,18,10,15,8,11,1,0,0,0,0,0,0,0,0,0,0,01 新北市,2 技職,105
681,1073,醒吾科技大學,D 日,B 四技,493,708,579,898,547,995,605,853,0,0,0,0,0,0,97,63,01 新北市,2 技職,105
682,1073,醒吾科技大學,D 日,C 二技,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,01 新北市,2 技職,105
683,1073,醒吾科技大學,D 日,5 五專,80,109,110,174,66,110,85,179,72,190,0,0,0,0,2,1,01 新北市,2 技職,105
684,1073,醒吾科技大學,N 職,M 碩士,38,13,16,15,3,4,6,1,0,0,0,0,0,0,0,0,01 新北市,2 技職,105
685,1073,醒吾科技大學,N 修,B 四技,229,230,69,59,99,103,136,126,0,0,0,0,0,0,46,10,01 新北市,2 技職,105
686,1074,南榮科技大學,D 日,M 碩士,10,7,8,9,1,0,1,0,0,0,0,0,0,0,0,0,11 臺南市,2 技職,105
687,1074,南榮科技大學,D 日,B 四技,138,80,217,171,286,160,171,133,0,0,0,0,0,0,30,14,11 臺南市,2 技職,105
688,1074,南榮科技大學,D 日,C 二技,0,0,0,0,14,0,17,2,0,0,0,0,0,0,0,0,11 臺南市,2 技職,105
689,1074,南榮科技大學,D 日,5 五專,21,8,27,11,34,11,49,17,56,20,0,0,0,0,3,1,11 臺南市,2 技職,105
690,1074,南榮科技大學,N 職,M 碩士,10,3,6,10,0,0,0,0,0,0,0,0,0,0,0,0,11 臺南市,2 技職,105
691,1074,南榮科技大學,N 修,B 四技,61,35,116,58,168,125,196,112,0,0,0,0,0,0,44,8,11 臺南市,2 技職,105
692,1074,南榮科技大學,N 修,C 二技,0,0,0,0,12,7,20,22,0,0,0,0,0,0,3,0,11 臺南市,2 技職,105
693,1074,南榮科技大學,N 修,2 二專,30,30,39,44,0,0,0,0,0,0,0,0,0,0,11,7,11 臺南市,2 技職,105
694,1075,文藻外語大學,D 日,M 碩士,16,46,8,39,4,18,4,13,0,0,0,0,0,0,0,0,50 高雄市,2 技職,105
695,1075,文藻外語大學,D 日,B 四技,308,934,270,986,214,981,231,976,0,0,0,0,0,0,86,236,50 高雄市,2 技職,105
696,1075,文藻外語大學,D 日,C 二技,0,0,0,0,22,109,23,140,0,0,0,0,0,0,2,22,50 高雄市,2 技職,105
697,1075,文藻外語大學,D 日,5 五專,53,266,65,296,55,292,58,277,47,291,0,0,0,0,9,25,50 高雄市,2 技職,105
698,1075,文藻外語大學,N 職,M 碩士,6,14,0,15,5,11,2,4,1,2,0,0,0,0,0,0,50 高雄市,2 技職,105
699,1075,文藻外語大學,N 修,B 四技,190,361,113,279,90,250,96,233,0,0,0,0,0,0,43,136,50 高雄市,2 技職,105
700,1075,文藻外語大學,N 修,C 二技,0,0,0,0,21,65,15,48,0,0,0,0,0,0,6,20,50 高雄市,2 技職,105
701,1076,華夏科技大學,D 日,M 碩士,19,3,12,3,1,0,0,0,0,0,0,0,0,0,0,0,01 新北市,2 技職,105
702,1076,華夏科技大學,D 日,B 四技,366,245,509,276,474,255,410,280,0,0,0,0,0,0,71,25,01 新北市,2 技職,105
703,1076,華夏科技大學,D 日,C 二技,0,0,0,0,34,6,35,10,0,0,0,0,0,0,0,0,01 新北市,2 技職,105
704,1076,華夏科技大學,D 日,5 五專,159,16,117,16,79,16,81,17,69,19,0,0,0,0,6,1,01 新北市,2 技職,105
705,1076,華夏科技大學,N 職,M 碩士,16,9,17,5,9,3,4,0,0,0,0,0,0,0,0,0,01 新北市,2 技職,105
706,1076,華夏科技大學,N 修,B 四技,121,77,122,61,141,80,110,72,0,0,0,0,0,0,33,7,01 新北市,2 技職,105
707,1076,華夏科技大學,N 修,C 二技,0,0,0,0,71,16,49,12,0,0,0,0,0,0,2,1,01 新北市,2 技職,105
708,1076,華夏科技大學,N 修,2 二專,29,56,82,75,0,0,0,0,0,0,0,0,0,0,11,5,01 新北市,2 技職,105
709,1077,慈濟科技大學,D 日,M 碩士,6,2,7,1,6,5,0,0,0,0,0,0,0,0,0,0,15 花蓮縣,2 技職,105
710,1077,慈濟科技大學,D 日,B 四技,167,195,146,134,150,160,110,118,0,0,0,0,0,0,37,14,15 花蓮縣,2 技職,105
711,1077,慈濟科技大學,D 日,C 二技,0,0,0,0,8,139,7,123,0,0,0,0,0,0,0,2,15 花蓮縣,2 技職,105
712,1077,慈濟科技大學,D 日,5 五專,34,229,32,217,29,212,26,210,22,218,0,0,0,0,5,30,15 花蓮縣,2 技職,105
713,1077,慈濟科技大學,N 修,C 二技,0,0,0,0,4,58,1,41,0,0,0,0,0,0,1,18,15 花蓮縣,2 技職,105
714,1078,致理科技大學,D 日,M 碩士,5,15,2,11,1,3,0,0,0,0,0,0,0,0,0,0,01 新北市,2 技職,105
715,1078,致理科技大學,D 日,B 四技,489,1053,495,1057,432,1092,458,1065,0,0,0,0,0,0,111,127,01 新北市,2 技職,105
716,1078,致理科技大學,D 日,C 二技,0,0,0,0,23,99,65,147,0,0,0,0,0,0,7,10,01 新北市,2 技職,105
717,1078,致理科技大學,D 日,2 二專,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,01 新北市,2 技職,105
718,1078,致理科技大學,D 日,5 五專,71,267,60,273,61,257,47,267,56,246,0,0,0,0,11,20,01 新北市,2 技職,105
719,1078,致理科技大學,N 職,M 碩士,4,13,3,9,0,2,0,1,2,3,0,0,0,0,0,0,01 新北市,2 技職,105
720,1078,致理科技大學,N 修,B 四技,252,516,286,470,225,508,226,462,0,0,0,0,0,0,68,78,01 新北市,2 技職,105
721,1078,致理科技大學,N 修,C 二技,0,0,0,0,49,103,25,73,0,0,0,0,0,0,10,9,01 新北市,2 技職,105
722,1079,康寧大學,D 日,M 碩士,27,58,18,21,12,6,4,3,1,0,0,0,0,0,0,0,30 臺北市,1 一般,105
723,1079,康寧大學,D 日,B 學士,84,84,131,89,155,185,165,166,0,0,0,0,0,0,49,29,30 臺北市,1 一般,105
724,1079,康寧大學,D 日,2 二專,5,14,5,13,0,0,0,0,0,0,0,0,0,0,0,1,30 臺北市,2 技職,105
725,1079,康寧大學,D 日,5 五專,151,501,132,494,124,437,125,427,98,423,0,0,0,0,5,26,30 臺北市,2 技職,105
726,1079,康寧大學,N 職,M 碩士,37,52,16,33,15,8,2,4,0,0,0,0,0,0,0,0,30 臺北市,1 一般,105
727,1079,康寧大學,N 修,2 二專,45,149,22,118,0,0,0,0,0,0,0,0,0,0,0,4,30 臺北市,2 技職,105
728,1079,康寧大學,P 進,B 學士,121,56,96,51,57,38,30,26,0,0,0,0,0,0,13,1,30 臺北市,1 一般,105
729,1125,中信金融管理學院,D 日,M 碩士,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21 臺南市,1 一般,105
730,1125,中信金融管理學院,D 日,B 學士,70,82,61,78,6,4,6,5,0,0,0,0,0,0,0,1,21 臺南市,1 一般,105
731,1125,中信金融管理學院,P 進,B 學士,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,21 臺南市,1 一般,105
732,1148,大漢技術學院,D 日,M 碩士,33,5,19,15,16,1,0,0,0,0,0,0,0,0,0,0,15 花蓮縣,2 技職,105
733,1148,大漢技術學院,D 日,B 四技,65,30,60,32,77,33,83,42,0,0,0,0,0,0,42,26,15 花蓮縣,2 技職,105
734,1148,大漢技術學院,D 日,C 二技,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,15 花蓮縣,2 技職,105
735,1148,大漢技術學院,N 修,B 四技,78,31,64,33,45,33,54,46,0,0,0,0,0,0,6,1,15 花蓮縣,2 技職,105
736,1148,大漢技術學院,N 修,C 二技,0,0,0,0,107,78,66,43,0,0,0,0,0,0,0,1,15 花蓮縣,2 技職,105
737,1148,大漢技術學院,N 修,2 二專,68,60,45,55,0,0,0,0,0,0,0,0,0,0,2,0,15 花蓮縣,2 技職,105
738,1159,和春技術學院,D 日,M 碩士,18,2,14,2,3,0,0,0,0,0,0,0,0,0,0,0,12 高雄市,2 技職,105
739,1159,和春技術學院,D 日,B 四技,136,121,146,117,146,56,137,71,0,0,0,0,0,0,99,31,12 高雄市,2 技職,105
740,1159,和春技術學院,D 日,C 二技,0,0,0,0,12,18,6,6,0,0,0,0,0,0,0,0,12 高雄市,2 技職,105
741,1159,和春技術學院,D 日,5 五專,60,69,43,22,35,18,41,34,44,23,0,0,0,0,15,3,12 高雄市,2 技職,105
742,1159,和春技術學院,N 修,B 四技,83,59,120,33,87,34,99,31,0,0,0,0,0,0,56,19,12 高雄市,2 技職,105
743,1159,和春技術學院,N 修,C 二技,0,0,0,0,180,82,129,51,0,0,0,0,0,0,4,0,12 高雄市,2 技職,105
744,1159,和春技術學院,N 修,2 二專,297,102,263,93,0,0,0,0,0,0,0,0,0,0,15,2,12 高雄市,2 技職,105
745,1166,亞東技術學院,D 日,M 碩士,11,5,7,5,5,1,2,0,0,0,1,0,0,0,0,0,01 新北市,2 技職,105
746,1166,亞東技術學院,D 日,B 四技,746,269,744,296,732,320,758,327,0,0,0,0,0,0,152,28,01 新北市,2 技職,105
747,1166,亞東技術學院,D 日,C 二技,0,0,0,0,0,92,5,84,0,0,0,0,0,0,1,9,01 新北市,2 技職,105
748,1166,亞東技術學院,D 日,2 二專,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,01 新北市,2 技職,105
749,1166,亞東技術學院,N 修,B 四技,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,01 新北市,2 技職,105
750,1166,亞東技術學院,N 修,C 二技,0,0,0,0,1,24,0,26,0,24,0,0,0,0,0,0,01 新北市,2 技職,105
751,1168,南亞技術學院,D 日,M 碩士,12,9,11,1,6,2,3,0,0,0,0,0,0,0,0,0,03 桃園市,2 技職,105
752,1168,南亞技術學院,D 日,B 四技,330,268,337,275,386,332,471,422,0,0,0,0,0,0,140,87,03 桃園市,2 技職,105
753,1168,南亞技術學院,D 日,5 五專,56,48,73,68,0,0,0,0,0,0,0,0,0,0,0,0,03 桃園市,2 技職,105
754,1168,南亞技術學院,N 修,B 四技,179,69,161,64,159,94,140,93,0,0,0,0,0,0,49,28,03 桃園市,2 技職,105
755,1168,南亞技術學院,N 修,2 二專,58,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03 桃園市,2 技職,105
756,1176,稻江科技暨管理學院,D 日,M 碩士,14,22,15,10,0,3,0,0,3,0,0,0,0,0,0,0,10 嘉義縣,1 一般,105
757,1176,稻江科技暨管理學院,D 日,B 學士,248,258,122,110,151,155,132,116,0,0,0,0,0,0,34,26,10 嘉義縣,1 一般,105
758,1176,稻江科技暨管理學院,N 職,M 碩士,17,10,8,11,1,1,0,0,0,0,0,0,0,0,0,0,10 嘉義縣,1 一般,105
759,1176,稻江科技暨管理學院,N 修,C 二技,0,0,0,0,7,35,8,39,0,0,0,0,0,0,2,4,10 嘉義縣,2 技職,105
760,1176,稻江科技暨管理學院,P 進,B 學士,69,94,50,69,55,103,62,103,0,0,0,0,0,0,12,7,10 嘉義縣,1 一般,105
761,1179,德霖技術學院,D 日,B 四技,397,242,434,317,451,348,368,308,0,0,0,0,0,0,114,47,01 新北市,2 技職,105
762,1179,德霖技術學院,D 日,C 二技,0,0,0,0,8,31,10,22,0,0,0,0,0,0,2,2,01 新北市,2 技職,105
763,1179,德霖技術學院,D 日,5 五專,247,119,210,114,189,121,211,122,231,127,0,0,0,0,20,14,01 新北市,2 技職,105
764,1179,德霖技術學院,N 修,B 四技,374,200,232,117,165,94,203,97,0,0,0,0,0,0,61,19,01 新北市,2 技職,105
765,1179,德霖技術學院,N 修,C 二技,0,0,0,0,155,90,153,61,0,0,0,0,0,0,10,2,01 新北市,2 技職,105
766,1179,德霖技術學院,N 修,2 二專,101,70,92,112,0,0,0,0,0,0,0,0,0,0,15,8,01 新北市,2 技職,105
767,1182,蘭陽技術學院,D 日,B 四技,93,98,84,50,77,76,152,85,0,0,0,0,0,0,33,22,02 宜蘭縣,2 技職,105
768,1182,蘭陽技術學院,D 日,C 二技,0,0,0,0,0,0,14,9,0,0,0,0,0,0,2,0,02 宜蘭縣,2 技職,105
769,1182,蘭陽技術學院,D 日,5 五專,109,58,85,67,33,22,75,41,92,60,0,0,0,0,21,4,02 宜蘭縣,2 技職,105
770,1182,蘭陽技術學院,N 修,2 二專,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,02 宜蘭縣,2 技職,105
771,1183,黎明技術學院,D 日,B 四技,399,389,354,354,375,322,384,265,0,0,0,0,0,0,68,25,01 新北市,2 技職,105
772,1183,黎明技術學院,D 日,C 二技,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,01 新北市,2 技職,105
773,1183,黎明技術學院,D 日,5 五專,96,19,142,17,139,25,155,23,155,23,0,0,0,0,24,7,01 新北市,2 技職,105
774,1183,黎明技術學院,N 修,B 四技,161,89,131,39,122,52,85,45,0,0,0,0,0,0,26,8,01 新北市,2 技職,105
775,1183,黎明技術學院,N 修,C 二技,0,0,0,0,1,49,5,54,0,0,0,0,0,0,0,0,01 新北市,2 技職,105
776,1183,黎明技術學院,N 修,2 二專,9,61,1,2,0,0,0,0,0,0,0,0,0,0,0,0,01 新北市,2 技職,105
777,1184,東方設計學院,D 日,D 博士,6,6,5,4,2,1,0,0,0,0,0,0,0,0,0,0,12 高雄市,2 技職,105
778,1184,東方設計學院,D 日,M 碩士,22,38,18,15,6,5,1,3,0,0,0,0,0,0,0,0,12 高雄市,2 技職,105
779,1184,東方設計學院,D 日,B 四技,170,149,197,173,181,227,205,255,4,4,0,0,0,0,41,34,12 高雄市,2 技職,105
780,1184,東方設計學院,D 日,C 二技,0,0,0,0,8,12,12,5,0,0,0,0,0,0,1,0,12 高雄市,2 技職,105
781,1184,東方設計學院,D 日,5 五專,127,150,173,208,113,178,128,214,121,169,0,0,0,0,8,6,12 高雄市,2 技職,105
782,1184,東方設計學院,N 職,M 碩士,9,6,10,2,4,3,2,0,0,0,0,0,0,0,0,0,12 高雄市,2 技職,105
783,1184,東方設計學院,N 修,B 四技,24,38,23,30,8,7,13,10,0,0,0,0,0,0,0,2,12 高雄市,2 技職,105
784,1185,經國管理暨健康學院,D 日,M 碩士,4,6,1,8,2,3,0,0,0,0,0,0,0,0,0,0,17 基隆市,2 技職,105
785,1185,經國管理暨健康學院,D 日,B 四技,189,350,133,310,160,244,146,238,0,0,0,0,0,0,51,30,17 基隆市,2 技職,105
786,1185,經國管理暨健康學院,D 日,C 二技,0,0,0,0,6,54,2,61,0,0,0,0,0,0,0,0,17 基隆市,2 技職,105
787,1185,經國管理暨健康學院,D 日,5 五專,106,221,100,246,65,243,61,240,65,245,0,0,0,0,7,29,17 基隆市,2 技職,105
788,1185,經國管理暨健康學院,N 職,M 碩士,7,13,5,14,0,6,1,1,0,0,0,0,0,0,0,0,17 基隆市,2 技職,105
789,1185,經國管理暨健康學院,N 修,B 四技,22,13,35,65,23,36,24,30,0,0,0,0,0,0,11,11,17 基隆市,2 技職,105
790,1185,經國管理暨健康學院,N 修,C 二技,0,0,0,0,3,97,6,69,0,0,0,0,0,0,0,4,17 基隆市,2 技職,105
791,1187,崇右技術學院,D 日,M 碩士,19,21,18,20,0,0,0,0,0,0,0,0,0,0,0,0,17 基隆市,2 技職,105
792,1187,崇右技術學院,D 日,B 四技,259,295,281,301,242,273,220,252,0,0,0,0,0,0,87,80,17 基隆市,2 技職,105
793,1187,崇右技術學院,D 日,5 五專,41,43,43,45,41,43,50,64,37,118,0,0,0,0,7,12,17 基隆市,2 技職,105
794,1188,大同技術學院,D 日,B 四技,152,198,187,187,163,209,192,215,0,0,0,0,0,0,25,17,20 嘉義市,2 技職,105
795,1188,大同技術學院,D 日,5 五專,18,17,25,20,21,14,33,30,21,23,0,0,0,0,3,0,20 嘉義市,2 技職,105
796,1188,大同技術學院,N 修,B 四技,42,53,24,38,28,52,32,61,0,0,0,0,0,0,7,6,20 嘉義市,2 技職,105
797,1188,大同技術學院,N 修,C 二技,0,0,0,0,45,102,23,116,0,0,0,0,0,0,2,1,20 嘉義市,2 技職,105
798,1188,大同技術學院,N 修,2 二專,8,10,6,7,0,0,0,0,0,0,0,0,0,0,0,1,20 嘉義市,2 技職,105
799,1189,亞太創意技術學院,D 日,M 碩士,12,26,16,9,5,6,1,1,0,0,0,0,0,0,0,0,05 苗栗縣,2 技職,105
800,1189,亞太創意技術學院,D 日,B 四技,70,43,88,48,65,44,103,78,0,0,0,0,0,0,35,15,05 苗栗縣,2 技職,105
801,1189,亞太創意技術學院,D 日,C 二技,0,0,0,0,0,0,11,179,0,0,0,0,0,0,0,0,05 苗栗縣,2 技職,105
802,1189,亞太創意技術學院,N 修,C 二技,0,0,0,0,23,238,10,137,0,0,0,0,0,0,0,0,05 苗栗縣,2 技職,105
803,1189,亞太創意技術學院,N 修,2 二專,0,26,3,117,0,0,0,0,0,0,0,0,0,0,0,1,05 苗栗縣,2 技職,105
804,1192,臺灣觀光學院,D 日,M 碩士,3,5,2,4,2,3,0,2,0,0,0,0,0,0,0,0,15 花蓮縣,2 技職,105
805,1192,臺灣觀光學院,D 日,B 四技,71,85,86,84,83,100,91,106,0,0,0,0,0,0,56,36,15 花蓮縣,2 技職,105
806,1192,臺灣觀光學院,D 日,C 二技,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,1,15 花蓮縣,2 技職,105
807,1192,臺灣觀光學院,D 日,2 二專,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15 花蓮縣,2 技職,105
808,1192,臺灣觀光學院,D 日,5 五專,27,27,25,37,19,40,23,28,0,0,0,0,0,0,0,2,15 花蓮縣,2 技職,105
809,1192,臺灣觀光學院,N 修,B 四技,9,15,16,15,12,26,8,19,0,0,0,0,0,0,3,3,15 花蓮縣,2 技職,105
810,1192,臺灣觀光學院,N 修,C 二技,0,0,0,0,12,11,14,21,0,0,0,0,0,0,0,0,15 花蓮縣,2 技職,105
811,1192,臺灣觀光學院,N 修,2 二專,8,18,9,13,0,0,0,0,0,0,0,0,0,0,0,0,15 花蓮縣,2 技職,105
812,1195,馬偕醫學院,D 日,M 碩士,4,12,4,12,2,0,0,0,0,0,0,0,0,0,0,0,01 新北市,1 一般,105
813,1195,馬偕醫學院,D 日,B 學士,46,80,44,80,39,74,41,75,19,22,31,16,31,9,1,0,01 新北市,1 一般,105
814,1195,馬偕醫學院,N 修,C 二技,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,01 新北市,2 技職,105
815,1196,法鼓文理學院,D 日,D 博士,0,1,3,3,1,2,0,0,0,2,0,0,0,0,0,0,01 新北市,1 一般,105
816,1196,法鼓文理學院,D 日,M 碩士,25,53,19,44,4,11,5,12,0,0,0,0,0,0,0,0,01 新北市,1 一般,105
817,1196,法鼓文理學院,D 日,B 學士,7,7,4,11,5,13,0,6,0,0,0,0,0,0,0,0,01 新北市,1 一般,105
818,1197,台北海洋技術學院,D 日,M 碩士,16,14,11,2,0,0,0,0,0,0,0,0,0,0,0,0,01 新北市,2 技職,105
819,1197,台北海洋技術學院,D 日,B 四技,431,387,476,456,467,454,443,444,0,0,0,0,0,0,114,53,01 新北市,2 技職,105
820,1197,台北海洋技術學院,D 日,C 二技,0,0,0,0,74,22,77,27,0,0,0,0,0,0,2,2,01 新北市,2 技職,105
821,1197,台北海洋技術學院,D 日,X 4+X,30,3,0,0,0,0,0,0,0,0,0,0,0,0,35,3,01 新北市,2 技職,105
822,1197,台北海洋技術學院,D 日,2 二專,60,6,68,2,0,0,0,0,0,0,0,0,0,0,9,0,01 新北市,2 技職,105
823,1197,台北海洋技術學院,D 日,5 五專,161,97,172,111,163,106,156,118,163,97,0,0,0,0,34,6,01 新北市,2 技職,105
824,1197,台北海洋技術學院,N 修,B 四技,11,44,15,15,18,11,24,15,0,0,0,0,0,0,9,4,01 新北市,2 技職,105
825,1197,台北海洋技術學院,N 修,C 二技,0,0,0,0,10,27,7,33,0,0,0,0,0,0,2,1,01 新北市,2 技職,105
826,1197,台北海洋技術學院,N 修,2 二專,47,3,45,1,0,0,0,0,0,0,0,0,0,0,0,0,01 新北市,2 技職,105
827,1282,馬偕醫護管理專科學校,D 日,2 二專,0,0,5,17,0,0,0,0,0,0,0,0,0,0,1,6,30 臺北市,2 技職,105
828,1282,馬偕醫護管理專科學校,D 日,5 五專,103,750,90,736,79,701,89,683,62,651,0,0,0,0,16,61,30 臺北市,2 技職,105
829,1282,馬偕醫護管理專科學校,N 修,2 二專,77,64,74,61,0,0,0,0,0,0,0,0,0,0,2,2,30 臺北市,2 技職,105
830,1283,仁德醫護管理專科學校,D 日,5 五專,285,1028,293,957,244,923,218,894,242,825,0,0,0,0,101,186,05 苗栗縣,2 技職,105
831,1283,仁德醫護管理專科學校,N 修,2 二專,107,120,49,118,0,0,0,0,0,0,0,0,0,0,28,12,05 苗栗縣,2 技職,105
832,1284,樹人醫護管理專科學校,D 日,5 五專,346,1116,330,1070,264,893,287,943,278,876,0,0,0,0,72,138,12 高雄市,2 技職,105
833,1284,樹人醫護管理專科學校,N 修,2 二專,153,79,154,48,28,10,13,7,0,0,0,0,0,0,3,2,12 高雄市,2 技職,105
834,1285,慈惠醫護管理專科學校,D 日,2 二專,33,38,16,44,0,0,0,0,0,0,0,0,0,0,2,6,13 屏東縣,2 技職,105
835,1285,慈惠醫護管理專科學校,D 日,5 五專,251,876,289,860,272,784,255,801,228,844,0,0,0,0,64,200,13 屏東縣,2 技職,105
836,1285,慈惠醫護管理專科學校,N 修,2 二專,66,94,62,77,8,6,2,5,0,0,0,0,0,0,9,11,13 屏東縣,2 技職,105
837,1286,耕莘健康管理專科學校,D 日,5 五專,103,962,117,940,113,886,93,875,92,886,0,0,0,0,18,91,01 新北市,2 技職,105
838,1286,耕莘健康管理專科學校,N 修,2 二專,0,43,0,37,0,0,0,0,0,0,0,0,0,0,0,1,01 新北市,2 技職,105
839,1287,敏惠醫護管理專科學校,D 日,5 五專,104,713,103,668,86,650,86,662,81,679,0,0,0,0,15,50,11 臺南市,2 技職,105
840,1288,高美醫護管理專科學校,D 日,5 五專,28,97,38,117,26,59,19,62,11,93,0,0,0,0,4,9,12 高雄市,2 技職,105
841,1288,高美醫護管理專科學校,N 修,2 二專,60,39,60,49,0,0,0,0,0,0,0,0,0,0,0,0,12 高雄市,2 技職,105
842,1289,育英醫護管理專科學校,D 日,5 五專,38,370,40,363,35,335,31,339,24,350,0,0,0,0,2,35,50 高雄市,2 技職,105
843,1290,崇仁醫護管理專科學校,D 日,5 五專,89,639,97,619,83,590,75,606,64,552,0,0,0,0,18,46,20 嘉義市,2 技職,105
844,1291,聖母醫護管理專科學校,D 日,5 五專,225,556,192,556,141,507,145,533,124,531,0,0,0,0,8,7,02 宜蘭縣,2 技職,105
845,1292,新生醫護管理專科學校,D 日,5 五專,172,1152,153,1101,131,938,131,981,97,972,0,0,0,0,20,80,03 桃園市,2 技職,105
846,1292,新生醫護管理專科學校,N 修,2 二專,13,26,23,31,0,0,0,0,0,0,0,0,0,0,0,1,03 桃園市,2 技職,105
847,3002,臺北市立大學,D 日,D 博士,22,16,13,27,17,23,10,17,8,19,11,17,25,30,0,0,30 臺北市,1 一般,105
848,3002,臺北市立大學,D 日,M 碩士,128,239,123,234,65,182,55,115,18,43,12,22,0,0,0,0,30 臺北市,1 一般,105
849,3002,臺北市立大學,D 日,B 學士,600,709,556,700,527,676,480,650,0,0,0,0,0,0,184,111,30 臺北市,1 一般,105
850,3002,臺北市立大學,N 職,M 碩士,109,236,101,232,37,81,32,48,17,20,15,19,0,0,0,0,30 臺北市,1 一般,105
